Timestamp,MON1 CL DDM (ｵA),MON1 CL RF (dB),MON1 DS DDM (ｵA),MON1 DS RF (dB),MON1 NF DDM (ｵA),MON1 NF RF (dB),MON1 CLR DDM (ｵA),MON1 CLR RF (dB)
2022-02-10 05:53:27,3.47,0.30,2.60,0.25,-0.58,0.12,8.10,0.28
2022-02-10 05:58:27,3.47,0.31,2.31,0.25,-0.29,0.11,7.81,0.28
2022-02-10 06:03:28,3.47,0.31,2.31,0.26,-0.29,0.12,7.52,0.29
2022-02-10 06:08:28,3.18,0.31,2.31,0.26,-0.29,0.12,7.52,0.29
2022-02-10 06:13:28,3.18,0.31,2.31,0.26,-0.29,0.12,7.52,0.29
2022-02-10 06:18:29,3.18,0.32,2.31,0.26,-0.29,0.12,7.52,0.29
2022-02-10 06:23:29,3.47,0.31,2.31,0.26,-0.29,0.11,7.52,0.29
2022-02-10 06:28:29,3.47,0.31,2.31,0.26,0.00,0.11,7.52,0.29
2022-02-10 06:33:29,3.47,0.31,2.31,0.26,0.29,0.10,7.52,0.29
2022-02-10 06:38:29,3.47,0.31,2.31,0.25,0.29,0.10,7.81,0.29
2022-02-10 06:43:29,3.76,0.30,2.31,0.25,0.29,0.10,7.81,0.29
2022-02-10 06:48:30,3.76,0.30,2.31,0.25,0.29,0.10,7.52,0.29
2022-02-10 06:53:30,3.47,0.30,2.31,0.25,0.29,0.11,7.52,0.28
2022-02-10 06:58:30,3.47,0.30,2.31,0.25,0.29,0.11,7.52,0.29
2022-02-10 07:03:31,3.47,0.30,2.31,0.25,0.29,0.11,7.52,0.29
2022-02-10 07:08:31,3.76,0.30,2.31,0.25,0.29,0.11,7.23,0.29
2022-02-10 07:13:32,3.47,0.30,2.31,0.25,0.29,0.10,7.52,0.29
2022-02-10 07:18:33,3.76,0.30,2.31,0.25,0.29,0.11,7.81,0.29
2022-02-10 07:23:33,3.47,0.31,2.31,0.26,0.00,0.14,7.23,0.29
2022-02-10 07:28:34,3.47,0.31,2.02,0.25,-0.29,0.14,6.94,0.29
2022-02-10 07:33:34,3.47,0.31,2.31,0.26,-0.58,0.16,6.65,0.29
2022-02-10 07:38:35,3.47,0.31,2.02,0.26,-0.87,0.17,6.65,0.29
2022-02-10 07:43:35,3.47,0.31,2.02,0.26,-0.87,0.17,6.36,0.29
2022-02-10 07:48:35,3.47,0.31,2.02,0.26,-0.87,0.17,6.07,0.29
2022-02-10 07:53:35,3.47,0.31,1.74,0.26,-0.87,0.17,5.78,0.30
2022-02-10 07:58:36,3.18,0.31,1.74,0.26,-1.16,0.17,5.50,0.30
2022-02-10 08:03:36,3.18,0.31,1.74,0.26,-0.87,0.17,5.50,0.30
2022-02-10 08:08:36,3.18,0.31,1.74,0.26,-1.16,0.19,5.21,0.31
2022-02-10 08:13:36,3.18,0.31,1.45,0.27,-1.45,0.18,4.92,0.31
2022-02-10 08:18:37,3.18,0.31,1.45,0.27,-1.45,0.18,4.63,0.31
2022-02-10 08:23:37,3.18,0.31,1.45,0.28,-1.45,0.18,4.34,0.31
2022-02-10 08:28:37,3.18,0.31,1.45,0.28,-1.45,0.18,3.76,0.32
2022-02-10 08:33:38,3.18,0.31,0.87,0.28,-1.45,0.17,3.47,0.32
2022-02-10 08:38:38,2.89,0.31,1.45,0.28,-1.45,0.17,3.18,0.32
2022-02-10 08:43:39,2.89,0.30,1.16,0.27,-1.74,0.17,3.18,0.32
2022-02-10 08:48:39,2.89,0.30,1.16,0.27,-1.74,0.17,3.18,0.32
2022-02-10 08:53:39,2.89,0.31,1.16,0.28,-1.74,0.16,2.89,0.32
2022-02-10 08:58:40,2.89,0.30,1.16,0.27,-2.02,0.15,3.18,0.32
2022-02-10 09:03:41,2.89,0.30,1.16,0.27,-2.31,0.15,3.18,0.31
2022-02-10 09:08:41,2.89,0.30,1.16,0.27,-2.60,0.14,3.18,0.31
2022-02-10 09:13:42,2.89,0.30,1.16,0.27,-2.89,0.14,3.47,0.31
