15,Timestamp,MON1 CL DDM (ｵA),Status,MON1 CL SDM (%),Status,MON1 CL RF (dB),Status,MON1 DS DDM (ｵA),Status,MON1 DS SDM (%),Status,MON1 DS RF (dB),Status,MON1 NF DDM (ｵA),Status,MON1 NF SDM (%),Status,MON1 NF RF (dB),Status,MON1 CLR DDM (ｵA),Status,MON1 CLR SDM (%),Status,MON1 CLR RF (dB),Status,MON1 DIFF FREQ (kHz),Status,MON1 TEST DDM (ｵA),Status,MON1 TEST SDM (%),Status,MON1 TEST RF (dB),Status,MON1 SELF TEST (),Status,MON2 CL DDM (ｵA),Status,MON2 CL SDM (%),Status,MON2 CL RF (dB),Status,MON2 DS DDM (ｵA),Status,MON2 DS SDM (%),Status,MON2 DS RF (dB),Status,MON2 NF DDM (ｵA),Status,MON2 NF SDM (%),Status,MON2 NF RF (dB),Status,MON2 CLR DDM (ｵA),Status,MON2 CLR SDM (%),Status,MON2 CLR RF (dB),Status,MON2 DIFF FREQ (kHz),Status,MON2 TEST DDM (ｵA),Status,MON2 TEST SDM (%),Status,MON2 TEST RF (dB),Status,MON2 SELF TEST (),Status
267,"2022-01-29 11:07:46,9"," 2,89", ,"79,94", ," 0,29", ," 1,45", ,"79,97", ," 0,26", ,"-0,29", ,"79,97", ,"-0,01", ," 3,76", ,"80,11", ," 0,30", ,"14,74", ,"-52,06",a,"54,73",a,"-3,32",a," 0,00", ," 2,89", ,"79,97", ," 0,32", ," 1,45", ,"79,97", ," 0,29", ," 0,00", ,"79,97", ," 0,00", ," 1,74", ,"80,07", ," 0,34", ,"14,76", ,"-3,76", ,"78,32", ," 0,02", ," 0,00", 
268,"2022-01-29 11:12:47,2"," 3,47", ,"79,97", ," 0,22", ," 2,31", ,"79,97", ," 0,18", ," 0,00", ,"79,94", ," 0,02", ," 5,50", ,"80,31", ," 0,25", ,"14,74", ," 0,00", ,"79,80", ,"-0,05", ," 0,00", ," 3,76", ,"79,97", ," 0,26", ," 2,31", ,"80,01", ," 0,22", ,"-0,29", ,"79,90", ," 0,04", ," 4,05", ,"80,28", ," 0,28", ,"14,76", ,"-67,10",a,"56,39",a,"-5,03",a," 0,00", 
269,"2022-01-29 11:17:47,3"," 3,18", ,"79,97", ," 0,25", ," 1,74", ,"80,04", ," 0,20", ,"-0,87", ,"79,97", ," 0,05", ," 5,50", ,"80,28", ," 0,25", ,"14,74", ,"-51,77",a,"63,13",a,"-4,69",a," 0,00", ," 3,18", ,"79,97", ," 0,28", ," 2,02", ,"80,01", ," 0,24", ,"-0,87", ,"79,97", ," 0,07", ," 4,05", ,"80,21", ," 0,29", ,"14,72", ,"-61,90",a,"53,79",a,"-5,03",a," 0,00", 
270,"2022-01-29 11:22:48,0"," 3,18", ,"79,97", ," 0,26", ," 1,74", ,"80,01", ," 0,22", ,"-1,74", ,"79,97", ," 0,10", ," 5,50", ,"80,28", ," 0,26", ,"14,76", ," 0,00", ,"79,84", ," 0,01", ," 0,00", ," 3,47", ,"80,01", ," 0,29", ," 2,02", ,"80,01", ," 0,25", ,"-1,74", ,"79,97", ," 0,11", ," 4,05", ,"80,24", ," 0,29", ,"14,74", ,"-44,25",a,"65,90", ,"-3,88",a," 0,00", 
271,"2022-01-29 11:27:48,1"," 3,47", ,"79,94", ," 0,25", ," 2,02", ,"79,94", ," 0,20", ,"-2,60", ,"79,97", ," 0,08", ," 6,07", ,"80,31", ," 0,25", ,"14,76", ,"-21,40", ,"74,34", ,"-1,86", ," 0,00", ," 3,47", ,"79,90", ," 0,28", ," 2,31", ,"79,97", ," 0,23", ,"-2,31", ,"79,90", ," 0,10", ," 4,34", ,"80,24", ," 0,28", ,"14,76", ,"-61,32",a,"53,75",a,"-5,03",a," 0,00", 
272,"2022-01-29 11:32:49,0"," 3,47", ,"79,94", ," 0,26", ," 2,02", ,"79,97", ," 0,22", ,"-2,60", ,"79,94", ," 0,08", ," 6,07", ,"80,28", ," 0,26", ,"14,76", ,"-60,74",a,"54,80",a,"-5,03",a," 0,00", ," 3,47", ,"79,94", ," 0,29", ," 2,02", ,"79,97", ," 0,26", ,"-2,60", ,"79,94", ," 0,10", ," 4,05", ,"80,24", ," 0,30", ,"14,74", ,"-61,61",a,"53,79",a,"-5,03",a," 0,00", 
273,"2022-01-29 11:37:49,6"," 3,76", ,"79,97", ," 0,25", ," 2,02", ,"80,01", ," 0,21", ,"-1,45", ,"79,97", ," 0,05", ," 5,50", ,"80,28", ," 0,26", ,"14,74", ,"-9,54", ,"75,48", ,"-1,57", ," 0,00", ," 3,76", ,"79,97", ," 0,28", ," 2,02", ,"80,01", ," 0,25", ,"-1,45", ,"79,97", ," 0,07", ," 4,05", ,"80,24", ," 0,30", ,"14,76", ,"-56,69",a,"53,96",a,"-5,03",a," 0,00", 
274,"2022-01-29 11:42:49,8"," 3,47", ,"79,94", ," 0,26", ," 2,02", ,"80,01", ," 0,22", ,"-1,74", ,"79,94", ," 0,05", ," 5,50", ,"80,24", ," 0,26", ,"14,74", ,"-47,72",a,"56,82",a,"-5,03",a," 0,00", ," 3,76", ,"79,97", ," 0,29", ," 2,31", ,"80,04", ," 0,25", ,"-1,45", ,"79,97", ," 0,07", ," 4,05", ,"80,24", ," 0,30", ,"14,74", ,"-61,90",a,"53,79",a,"-5,03",a," 0,00", 
275,"2022-01-29 11:47:49,8"," 3,47", ,"79,94", ," 0,26", ," 1,74", ,"80,01", ," 0,23", ,"-2,02", ,"79,94", ," 0,09", ," 5,78", ,"80,28", ," 0,26", ,"14,76", ,"-60,74",a,"54,80",a,"-5,03",a," 0,00", ," 3,47", ,"79,97", ," 0,30", ," 2,02", ,"80,01", ," 0,26", ,"-1,74", ,"79,94", ," 0,11", ," 4,05", ,"80,24", ," 0,29", ,"14,74", ,"-61,61",a,"53,79",a,"-5,03",a," 0,00", 
276,"2022-01-29 11:52:50,5"," 3,76", ,"79,94", ," 0,26", ," 2,02", ,"79,97", ," 0,22", ,"-1,45", ,"79,94", ," 0,05", ," 5,50", ,"80,24", ," 0,26", ,"14,76", ,"-19,96", ,"66,64", ,"-3,87",a," 0,00", ," 3,76", ,"79,94", ," 0,29", ," 2,31", ,"80,01", ," 0,25", ,"-1,45", ,"79,94", ," 0,07", ," 3,76", ,"80,21", ," 0,30", ,"14,72", ,"-61,90",a,"53,79",a,"-5,03",a," 0,00", 
277,"2022-01-29 11:57:50,6"," 3,76", ,"79,94", ," 0,26", ," 1,74", ,"80,01", ," 0,22", ," 0,29", ,"79,94", ,"-0,03", ," 4,92", ,"80,24", ," 0,27", ,"14,74", ,"-63,63",a,"54,87",a,"-5,03",a," 0,00", ," 3,76", ,"79,97", ," 0,29", ," 2,02", ,"79,97", ," 0,26", ," 0,58", ,"79,94", ,"-0,01", ," 3,47", ,"80,21", ," 0,31", ,"14,76", ,"-61,90",a,"53,79",a,"-5,03",a," 0,00", 
278,"2022-01-29 12:02:51,2"," 3,76", ,"79,97", ," 0,26", ," 1,74", ,"80,01", ," 0,22", ," 0,00", ,"80,04", ," 0,00", ," 4,63", ,"80,17", ," 0,27", ,"14,72", ,"-0,87", ,"76,94", ,"-1,30", ," 0,00", ," 3,76", ,"79,94", ," 0,29", ," 2,02", ,"80,01", ," 0,26", ," 0,00", ,"80,01", ," 0,02", ," 2,89", ,"80,14", ," 0,31", ,"14,72", ,"-61,03",a,"54,09",a,"-5,03",a," 0,00", 
279,"2022-01-29 12:07:52,2"," 3,47", ,"79,94", ," 0,26", ," 1,74", ,"79,97", ," 0,23", ," 0,29", ,"79,97", ," 0,03", ," 5,21", ,"80,21", ," 0,26", ,"14,74", ,"-62,18",a,"54,77",a,"-5,03",a," 0,00", ," 3,47", ,"79,97", ," 0,30", ," 2,02", ,"80,01", ," 0,26", ," 0,29", ,"79,97", ," 0,05", ," 3,47", ,"80,17", ," 0,30", ,"14,74", ,"-61,90",a,"53,79",a,"-5,03",a," 0,00", 
280,"2022-01-29 12:12:52,3"," 3,47", ,"80,01", ," 0,28", ," 1,74", ,"80,07", ," 0,23", ,"-0,29", ,"80,04", ," 0,05", ," 5,21", ,"80,24", ," 0,27", ,"14,74", ,"-60,74",a,"54,83",a,"-5,03",a," 0,00", ," 3,76", ,"80,04", ," 0,31", ," 2,02", ,"80,11", ," 0,26", ,"-0,29", ,"80,11", ," 0,07", ," 3,76", ,"80,24", ," 0,31", ,"14,74", ,"-61,90",a,"53,82",a,"-5,03",a," 0,00", 
281,"2022-01-29 12:17:52,7"," 3,47", ,"79,94", ," 0,26", ," 2,02", ,"80,01", ," 0,22", ," 0,58", ,"79,90", ," 0,00", ," 5,50", ,"80,24", ," 0,26", ,"14,74", ,"-60,74",a,"54,80",a,"-5,03",a," 0,00", ," 3,47", ,"79,97", ," 0,29", ," 2,02", ,"80,01", ," 0,25", ," 0,58", ,"79,97", ," 0,02", ," 3,76", ,"80,21", ," 0,29", ,"14,76", ,"-44,25",a,"63,10",a,"-0,40", ," 0,00", 
282,"2022-01-29 12:22:52,8"," 3,47", ,"79,94", ," 0,26", ," 2,31", ,"79,97", ," 0,22", ,"-0,29", ,"79,90", ," 0,07", ," 7,81", ,"80,38", ," 0,22", ,"14,74", ,"-55,24",a,"56,55",a,"-2,01", ," 0,00", ," 3,47", ,"79,97", ," 0,30", ," 2,31", ,"79,97", ," 0,25", ,"-0,29", ,"79,94", ," 0,08", ," 6,07", ,"80,34", ," 0,26", ,"14,74", ," 0,00", ,"79,84", ," 0,01", ," 0,00", 
283,"2022-01-29 12:27:52,9"," 3,76", ,"79,97", ," 0,23", ," 2,31", ,"79,97", ," 0,18", ,"-0,29", ,"79,97", ," 0,08", ," 7,81", ,"80,41", ," 0,21", ,"14,74", ,"-10,41", ,"76,19", ," 0,01", ," 0,00", ," 4,05", ,"79,97", ," 0,26", ," 2,60", ,"79,97", ," 0,21", ,"-0,29", ,"79,97", ," 0,10", ," 6,07", ,"80,34", ," 0,25", ,"14,74", ," 0,00", ,"79,84", ," 0,01", ," 0,00", 
284,"2022-01-29 12:32:53,3"," 3,76", ,"79,97", ," 0,23", ," 2,60", ,"80,01", ," 0,18", ," 0,00", ,"80,01", ," 0,07", ," 8,68", ,"80,48", ," 0,20", ,"14,74", ,"-54,66",a,"59,32",a,"-5,03",a," 0,00", ," 3,76", ,"79,94", ," 0,27", ," 2,89", ,"80,01", ," 0,22", ," 0,29", ,"80,01", ," 0,09", ," 7,23", ,"80,41", ," 0,24", ,"14,74", ,"-61,90",a,"53,79",a,"-5,03",a," 0,00", 
285,"2022-01-29 12:37:53,7"," 3,76", ,"79,94", ," 0,23", ," 2,60", ,"80,01", ," 0,18", ," 0,58", ,"79,94", ," 0,08", ," 8,39", ,"80,44", ," 0,21", ,"14,76", ,"-44,83",a,"65,60", ,"-0,16", ," 0,00", ," 4,05", ,"80,01", ," 0,26", ," 2,60", ,"80,01", ," 0,21", ," 0,87", ,"79,94", ," 0,10", ," 6,65", ,"80,38", ," 0,25", ,"14,74", ," 0,00", ,"79,84", ," 0,01", ," 0,00", 
286,"2022-01-29 12:42:53,8"," 4,05", ,"79,97", ," 0,22", ," 2,89", ,"79,97", ," 0,16", ," 2,02", ,"79,90", ," 0,02", ," 9,26", ,"80,51", ," 0,20", ,"14,76", ," 0,00", ,"79,80", ," 0,01", ," 0,00", ," 4,05", ,"79,97", ," 0,25", ," 2,89", ,"80,01", ," 0,20", ," 2,31", ,"79,94", ," 0,03", ," 7,52", ,"80,44", ," 0,23", ,"14,74", ," 0,00", ,"79,84", ," 0,01", ," 0,00", 
287,"2022-01-29 12:47:54,4"," 3,18", ,"79,94", ," 0,26", ," 1,74", ,"79,97", ," 0,23", ," 1,16", ,"79,94", ," 0,02", ," 5,50", ,"80,28", ," 0,26", ,"14,74", ,"-69,42",a,"56,49",a,"-2,31", ," 0,00", ," 3,18", ,"80,01", ," 0,30", ," 2,02", ,"80,01", ," 0,26", ," 1,16", ,"79,94", ," 0,03", ," 3,76", ,"80,21", ," 0,29", ,"14,76", ,"-0,58", ,"79,26", ," 0,02", ," 0,00", 
288,"2022-01-29 12:52:55,1"," 3,76", ,"79,97", ," 0,26", ," 2,02", ,"80,01", ," 0,22", ," 0,00", ,"80,01", ," 0,04", ," 5,50", ,"80,28", ," 0,26", ,"14,78", ,"-61,03",a,"54,80",a,"-5,03",a," 0,00", ," 3,76", ,"79,97", ," 0,29", ," 2,31", ,"80,01", ," 0,26", ," 0,00", ,"80,04", ," 0,06", ," 3,76", ,"80,24", ," 0,31", ,"14,76", ,"-63,05",a,"54,77",a,"-2,97",a," 0,00", 
289,"2022-01-29 12:57:55,4"," 3,76", ,"79,97", ," 0,27", ," 2,02", ,"80,01", ," 0,23", ,"-0,29", ,"79,94", ," 0,08", ," 5,50", ,"80,28", ," 0,26", ,"14,76", ," 0,00", ,"79,80", ," 0,01", ," 0,00", ," 3,76", ,"79,97", ," 0,30", ," 2,02", ,"80,01", ," 0,26", ,"-0,29", ,"79,94", ," 0,10", ," 4,05", ,"80,21", ," 0,29", ,"14,76", ,"-3,76", ,"79,30", ,"-0,28", ," 0,00", 
290,"2022-01-29 13:02:55,8"," 3,76", ,"79,94", ," 0,28", ," 2,31", ,"79,97", ," 0,22", ,"-0,58", ,"79,97", ," 0,08", ," 7,23", ,"80,38", ," 0,24", ,"14,76", ,"-60,74",a,"54,80",a,"-5,03",a," 0,00", ," 3,76", ,"79,94", ," 0,31", ," 2,60", ,"79,97", ," 0,26", ,"-0,58", ,"79,97", ," 0,10", ," 5,78", ,"80,31", ," 0,28", ,"14,74", ,"-61,90",a,"53,79",a,"-5,03",a," 0,00", 
291,"2022-01-29 13:07:55,9"," 3,76", ,"79,94", ," 0,26", ," 2,31", ,"80,01", ," 0,22", ," 0,87", ,"79,97", ," 0,06", ," 7,52", ,"80,38", ," 0,23", ,"14,76", ,"-60,74",a,"54,80",a,"-5,03",a," 0,00", ," 3,47", ,"79,97", ," 0,29", ," 2,60", ,"80,01", ," 0,25", ," 0,87", ,"79,97", ," 0,08", ," 6,07", ,"80,34", ," 0,27", ,"14,72", ,"-39,34",a,"60,70",a,"-0,89", ," 0,00", 
292,"2022-01-29 13:12:56,3"," 3,76", ,"79,97", ," 0,25", ," 2,31", ,"80,01", ," 0,19", ," 0,58", ,"79,94", ," 0,10", ," 8,10", ,"80,41", ," 0,22", ,"14,74", ," 0,00", ,"79,80", ," 0,01", ," 0,00", ," 3,76", ,"80,01", ," 0,28", ," 2,60", ,"80,01", ," 0,23", ," 0,87", ,"79,94", ," 0,12", ," 6,65", ,"80,38", ," 0,26", ,"14,74", ,"-8,97", ,"72,58", ,"-2,16", ," 0,00", 
293,"2022-01-29 13:17:56,9"," 3,47", ,"79,97", ," 0,25", ," 2,31", ,"80,01", ," 0,19", ," 0,29", ,"79,97", ," 0,14", ," 7,81", ,"80,41", ," 0,22", ,"14,74", ,"-2,02", ,"79,63", ," 0,01", ," 0,00", ," 3,47", ,"80,01", ," 0,28", ," 2,60", ,"80,01", ," 0,23", ," 0,29", ,"79,97", ," 0,16", ," 6,36", ,"80,38", ," 0,25", ,"14,76", ," 0,00", ,"79,84", ," 0,02", ," 0,00", 
294,"2022-01-29 13:22:56,8"," 2,89", ,"79,94", ," 0,26", ," 2,60", ,"79,97", ," 0,22", ," 0,58", ,"79,94", ," 0,11", ," 6,94", ,"80,34", ," 0,23", ,"14,74", ,"-60,45",a,"54,80",a,"-5,03",a," 0,00", ," 3,18", ,"79,97", ," 0,30", ," 2,02", ,"80,01", ," 0,25", ," 0,58", ,"79,97", ," 0,13", ," 5,21", ,"80,28", ," 0,27", ,"14,74", ,"-28,34",a,"71,37", ," 0,01", ," 0,00", 
295,"2022-01-29 13:27:57,1"," 2,60", ,"79,97", ," 0,29", ," 1,74", ,"80,01", ," 0,26", ," 1,16", ,"79,97", ," 0,10", ," 5,50", ,"80,24", ," 0,26", ,"14,76", ," 0,00", ,"79,84", ," 0,02", ," 0,00", ," 2,60", ,"79,97", ," 0,33", ," 1,74", ,"80,01", ," 0,29", ," 1,16", ,"79,97", ," 0,11", ," 4,05", ,"80,17", ," 0,29", ,"14,74", ,"-48,01",a,"62,29",a,"-4,69",a," 0,00", 
296,"2022-01-29 13:32:57,2"," 2,89", ,"79,97", ," 0,31", ," 1,45", ,"80,01", ," 0,27", ," 1,16", ,"79,97", ," 0,08", ," 5,21", ,"80,21", ," 0,27", ,"14,74", ,"-11,57", ,"71,67", ,"-2,47", ," 0,00", ," 2,89", ,"79,97", ," 0,34", ," 1,74", ,"80,01", ," 0,31", ," 1,16", ,"80,01", ," 0,09", ," 3,76", ,"80,17", ," 0,31", ,"14,74", ,"-61,61",a,"53,79",a,"-5,03",a," 0,00", 
297,"2022-01-29 13:37:57,6"," 2,60", ,"79,94", ," 0,32", ," 1,45", ,"80,01", ," 0,28", ," 1,74", ,"79,97", ," 0,07", ," 5,21", ,"80,17", ," 0,28", ,"14,76", ,"-60,16",a,"55,34",a,"-2,97",a," 0,00", ," 2,60", ,"79,97", ," 0,35", ," 1,45", ,"80,01", ," 0,32", ," 1,74", ,"79,97", ," 0,08", ," 3,18", ,"80,14", ," 0,31", ,"14,74", ,"-2,60", ,"78,69", ," 0,01", ," 0,00", 
298,"2022-01-29 13:42:57,9"," 2,60", ,"79,97", ," 0,32", ," 1,74", ,"80,01", ," 0,28", ," 1,74", ,"79,94", ," 0,07", ," 4,92", ,"80,17", ," 0,28", ,"14,76", ," 2,31", ,"79,33", ,"-0,28", ," 0,00", ," 2,60", ,"79,97", ," 0,35", ," 1,74", ,"79,97", ," 0,32", ," 1,74", ,"79,97", ," 0,09", ," 3,47", ,"80,14", ," 0,32", ,"14,74", ,"-48,88",a,"55,04",a,"-5,03",a," 0,00", 
299,"2022-01-29 13:47:58,6"," 2,31", ,"79,97", ," 0,33", ," 0,87", ,"79,97", ," 0,30", ," 2,02", ,"79,94", ," 0,07", ," 4,05", ,"80,11", ," 0,29", ,"14,76", ," 0,00", ,"79,80", ," 0,01", ," 0,00", ," 2,60", ,"79,97", ," 0,36", ," 1,16", ,"80,01", ," 0,34", ," 2,02", ,"79,97", ," 0,09", ," 2,31", ,"80,11", ," 0,32", ,"14,72", ," 0,00", ,"79,84", ," 0,01", ," 0,00", 
300,"2022-01-29 13:52:59,0"," 2,60", ,"79,90", ," 0,33", ," 1,45", ,"79,97", ," 0,30", ," 1,74", ,"79,97", ," 0,07", ," 4,63", ,"80,14", ," 0,28", ,"14,74", ,"-60,45",a,"54,80",a,"-5,03",a," 0,00", ," 2,60", ,"79,94", ," 0,36", ," 1,45", ,"79,97", ," 0,33", ," 1,74", ,"79,97", ," 0,08", ," 2,89", ,"80,11", ," 0,32", ,"14,72", ,"-61,32",a,"53,79",a,"-5,03",a," 0,00", 
301,"2022-01-29 13:57:59,3"," 2,31", ,"79,94", ," 0,32", ," 1,45", ,"79,97", ," 0,29", ," 2,31", ,"79,94", ," 0,07", ," 4,34", ,"80,11", ," 0,28", ,"14,74", ," 0,00", ,"79,80", ," 0,01", ," 0,00", ," 2,60", ,"79,97", ," 0,36", ," 1,16", ,"79,97", ," 0,33", ," 2,31", ,"79,97", ," 0,08", ," 2,60", ,"80,11", ," 0,32", ,"14,78", ," 0,00", ,"79,80", ," 0,01", ," 0,00", 
302,"2022-01-29 14:02:59,4"," 2,89", ,"79,97", ," 0,32", ," 1,45", ,"80,01", ," 0,29", ," 2,89", ,"79,97", ," 0,03", ," 4,05", ,"80,14", ," 0,29", ,"14,76", ," 0,00", ,"79,84", ," 0,01", ," 0,00", ," 2,89", ,"80,01", ," 0,35", ," 1,16", ,"80,01", ," 0,32", ," 2,89", ,"80,01", ," 0,04", ," 2,31", ,"80,11", ," 0,32", ,"14,74", ,"-13,02", ,"75,89", ,"-1,57", ," 0,00", 
303,"2022-01-29 14:07:59,8"," 2,31", ,"79,94", ," 0,32", ," 1,16", ,"79,97", ," 0,30", ," 2,89", ,"79,94", ," 0,03", ," 3,76", ,"80,11", ," 0,29", ,"14,74", ,"-60,45",a,"54,80",a,"-5,03",a," 0,00", ," 2,31", ,"79,94", ," 0,36", ," 1,45", ,"80,01", ," 0,33", ," 2,89", ,"79,97", ," 0,05", ," 2,02", ,"80,07", ," 0,34", ,"14,74", ,"-61,03",a,"53,92",a,"-4,08",a," 0,00", 
304,"2022-01-29 14:13:00,1"," 2,89", ,"79,97", ," 0,32", ," 1,45", ,"79,97", ," 0,28", ," 2,89", ,"79,97", ," 0,00", ," 5,50", ,"80,21", ," 0,28", ,"14,74", ," 0,00", ,"79,80", ," 0,01", ," 0,00", ," 2,89", ,"79,97", ," 0,35", ," 1,74", ,"79,97", ," 0,32", ," 2,89", ,"79,97", ," 0,02", ," 3,76", ,"80,17", ," 0,32", ,"14,74", ," 0,00", ,"79,84", ," 0,01", ," 0,00", 
305,"2022-01-29 14:18:00,2"," 2,89", ,"79,97", ," 0,32", ," 1,45", ,"79,97", ," 0,28", ," 0,58", ,"79,97", ," 0,07", ," 5,21", ,"80,21", ," 0,28", ,"14,74", ," 0,00", ,"79,80", ," 0,01", ," 0,00", ," 2,89", ,"79,97", ," 0,35", ," 1,45", ,"80,01", ," 0,32", ," 0,58", ,"79,97", ," 0,08", ," 3,47", ,"80,14", ," 0,31", ,"14,76", ,"-23,14",a,"64,52",a,"-3,87",a," 0,00", 
306,"2022-01-29 14:23:00,9"," 3,18", ,"79,97", ," 0,32", ," 1,45", ,"79,97", ," 0,28", ," 0,87", ,"79,94", ," 0,04", ," 4,63", ,"80,17", ," 0,29", ,"14,74", ," 0,00", ,"79,80", ," 0,01", ," 0,00", ," 3,47", ,"79,97", ," 0,35", ," 1,45", ,"79,97", ," 0,31", ," 0,87", ,"79,97", ," 0,06", ," 2,89", ,"80,14", ," 0,32", ,"14,76", ," 0,00", ,"79,84", ," 0,02", ," 0,00", 
307,"2022-01-29 14:28:01,1"," 3,18", ,"79,94", ," 0,30", ," 2,02", ,"79,97", ," 0,26", ,"-0,29", ,"80,01", ," 0,08", ," 5,50", ,"80,24", ," 0,27", ,"14,74", ," 0,00", ,"79,80", ," 0,01", ," 0,00", ," 3,47", ,"79,97", ," 0,34", ," 1,74", ,"79,94", ," 0,29", ,"-0,29", ,"80,01", ," 0,09", ," 3,76", ,"80,17", ," 0,31", ,"14,74", ,"-3,18", ,"76,09", ,"-1,29", ," 0,00", 
308,"2022-01-29 14:33:01,3"," 3,76", ,"79,94", ," 0,26", ," 2,31", ,"79,97", ," 0,21", ,"-0,29", ,"79,94", ," 0,10", ," 7,23", ,"80,38", ," 0,24", ,"14,74", ,"-60,74",a,"54,77",a,"-5,03",a," 0,00", ," 3,76", ,"79,94", ," 0,29", ," 2,60", ,"80,01", ," 0,25", ,"-0,29", ,"79,94", ," 0,12", ," 5,50", ,"80,34", ," 0,28", ,"14,74", ,"-58,14",a,"53,89",a,"-4,49",a," 0,00", 
309,"2022-01-29 14:38:01,8"," 3,47", ,"79,97", ," 0,27", ," 2,31", ,"79,97", ," 0,22", ,"-0,29", ,"79,94", ," 0,08", ," 6,94", ,"80,34", ," 0,25", ,"14,72", ," 0,00", ,"79,84", ," 0,01", ," 0,00", ," 3,47", ,"79,97", ," 0,30", ," 2,31", ,"80,01", ," 0,25", ,"-0,29", ,"79,94", ," 0,10", ," 5,21", ,"80,31", ," 0,28", ,"14,76", ," 0,29", ,"79,84", ," 0,01", ," 0,00", 
310,"2022-01-29 14:43:02,1"," 3,47", ,"79,94", ," 0,26", ," 2,60", ,"79,97", ," 0,20", ,"-0,58", ,"79,94", ," 0,11", ," 8,10", ,"80,41", ," 0,22", ,"14,74", ,"-60,74",a,"54,80",a,"-5,03",a," 0,00", ," 3,47", ,"79,94", ," 0,29", ," 2,60", ,"80,01", ," 0,24", ,"-0,58", ,"79,97", ," 0,12", ," 6,36", ,"80,38", ," 0,25", ,"14,72", ,"-61,90",a,"53,79",a,"-5,03",a," 0,00", 
311,"2022-01-29 14:48:02,7"," 3,47", ,"79,97", ," 0,25", ," 2,31", ,"80,01", ," 0,20", ," 0,29", ,"79,94", ," 0,07", ," 7,81", ,"80,38", ," 0,23", ,"14,74", ,"-36,15",a,"64,32",a,"-3,87",a," 0,00", ," 3,47", ,"79,97", ," 0,29", ," 2,60", ,"80,01", ," 0,24", ," 0,29", ,"79,97", ," 0,09", ," 6,07", ,"80,34", ," 0,26", ,"14,74", ,"-61,90",a,"53,75",a,"-5,03",a," 0,00", 
312,"2022-01-29 14:53:03,2"," 3,47", ,"79,94", ," 0,25", ," 2,60", ,"80,01", ," 0,20", ," 1,16", ,"79,97", ," 0,05", ," 8,10", ,"80,41", ," 0,22", ,"14,74", ,"-46,28",a,"57,50",a,"-1,71", ," 0,00", ," 3,76", ,"79,97", ," 0,28", ," 2,31", ,"80,01", ," 0,23", ," 1,16", ,"79,97", ," 0,07", ," 6,36", ,"80,38", ," 0,26", ,"14,74", ," 0,00", ,"79,84", ," 0,01", ," 0,00", 
313,"2022-01-29 14:58:03,5"," 3,76", ,"79,97", ," 0,24", ," 2,60", ,"80,01", ," 0,19", ," 2,02", ,"79,94", ," 0,03", ," 8,39", ,"80,44", ," 0,21", ,"14,74", ,"-7,52", ,"76,16", ,"-1,30", ," 0,00", ," 3,76", ,"79,97", ," 0,28", ," 2,60", ,"79,97", ," 0,22", ," 2,02", ,"79,94", ," 0,05", ," 6,94", ,"80,38", ," 0,25", ,"14,74", ,"-62,18",a,"54,02",a,"-5,03",a," 0,00", 
314,"2022-01-29 15:03:03,9"," 3,76", ,"79,94", ," 0,24", ," 2,31", ,"80,01", ," 0,19", ," 2,60", ,"79,94", ," 0,02", ," 8,39", ,"80,44", ," 0,22", ,"14,74", ,"-56,69",a,"54,63",a,"-4,49",a," 0,00", ," 3,76", ,"79,97", ," 0,27", ," 2,89", ,"80,01", ," 0,22", ," 2,60", ,"79,94", ," 0,03", ," 6,65", ,"80,38", ," 0,25", ,"14,74", ,"-1,45", ,"74,74", ," 0,01", ," 0,00", 
315,"2022-01-29 15:08:04,0"," 3,76", ,"79,94", ," 0,25", ," 2,31", ,"80,01", ," 0,19", ," 2,31", ,"79,97", ," 0,04", ," 8,39", ,"80,44", ," 0,22", ,"14,74", ,"-37,02",a,"67,55", ," 0,01", ," 0,00", ," 3,76", ,"80,01", ," 0,28", ," 2,60", ,"79,97", ," 0,23", ," 2,31", ,"79,97", ," 0,05", ," 6,36", ,"80,38", ," 0,25", ,"14,74", ," 0,00", ,"79,84", ," 0,01", ," 0,00", 
316,"2022-01-29 15:13:04,0"," 3,47", ,"79,97", ," 0,26", ," 2,02", ,"79,97", ," 0,21", ," 2,02", ,"79,94", ," 0,08", ," 7,52", ,"80,38", ," 0,22", ,"14,74", ," 0,00", ,"79,80", ," 0,01", ," 0,00", ," 3,47", ,"79,97", ," 0,29", ," 2,31", ,"80,01", ," 0,25", ," 2,02", ,"79,94", ," 0,10", ," 5,78", ,"80,34", ," 0,26", ,"14,74", ," 0,00", ,"79,84", ," 0,02", ," 0,00", 
317,"2022-01-29 15:18:04,1"," 2,89", ,"79,97", ," 0,28", ," 2,02", ,"79,97", ," 0,23", ," 0,87", ,"79,94", ," 0,13", ," 6,94", ,"80,34", ," 0,23", ,"14,74", ," 0,00", ,"79,80", ," 0,01", ," 0,00", ," 2,89", ,"79,97", ," 0,31", ," 2,31", ,"80,01", ," 0,26", ," 1,16", ,"79,97", ," 0,15", ," 5,50", ,"80,28", ," 0,27", ,"14,78", ,"-3,76", ,"78,42", ,"-0,77", ," 0,00", 
